Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2020-11-09,0.0,0.0,0.0,0.7562761116779244,0.0,0.1443305848873937,2020-11-09
2020-11-10,0.009726660718630875,0.011249845469155667,0.0003074378612572797,0.798643123645544,0.009726660718630875,0.22931326091354798,2020-11-10
2020-11-11,0.018517316895125313,0.021263444183459018,0.0005451328743589709,0.8371524959226685,0.018517316895125313,0.2948743958618403,2020-11-11
2020-11-12,0.027739476032119376,0.031153418222277185,0.0007557847422574766,0.877791761928522,0.027739476032119403,0.34136981080873774,2020-11-12
2020-11-13,0.03498905020682941,0.039930770181728276,0.0009906331084956754,0.909315678549885,0.034989050206829436,0.4012225318268037,2020-11-13
2020-11-14,0.04269446021575149,0.0505624922734578,0.0012041316232576753,0.9429322529956286,0.04269446021575152,0.49334803882712297,2020-11-14
2020-11-15,0.04654392083705086,0.058968970206453225,0.0014717164284260478,0.9586979348967449,0.04654392083705086,0.613418805870845,2020-11-15
2020-11-16,0.056051585692270256,0.06774632216590432,0.0018190073457722312,1.0,0.056051585692270256,0.609656214229962,2020-11-16
2020-11-17,0.0665212101549193,0.07590555074792929,0.11562225565450815,0.4521257977792507,0.06652121015491932,0.5716280330049957,2020-11-17
2020-11-18,0.07939005596560955,0.08332303127704291,0.12221081982006343,0.4762844525204984,0.07939005596560958,0.472539700582705,2020-11-18
2020-11-19,0.08826182172114527,0.09370750401780195,0.12987399317658746,0.4762918997013681,0.0882618217211453,0.519884543220634,2020-11-19
2020-11-20,0.09627544813042421,0.10149585857337126,0.13493248465301508,0.48614451999195707,0.09627544813042424,0.5277468923617024,2020-11-20
2020-11-21,0.10248195311866332,0.10841884040054398,0.14136448324107823,0.4805665815205654,0.10248195311866334,0.5512557839029189,2020-11-21
2020-11-22,0.11102765836645306,0.1163308196315985,0.14942761048192307,0.47713343113964213,0.1110276583664532,0.5507224201502838,2020-11-22
2020-11-23,0.11910779463054588,0.12449004821362344,0.15796185777867605,0.4690830286195161,0.11910779463054585,0.5630016083434146,2020-11-23
2020-11-24,0.12654716522021253,0.13413277290147116,0.1656748474553112,0.46229864684723604,0.12654716522021256,0.6128616202838737,2020-11-24
2020-11-25,0.13469867791386164,0.1417975027815552,0.17385611054099098,0.45645260986453584,0.13469867791386167,0.6129332787952437,2020-11-25
2020-11-26,0.1428096358179901,0.15008035603906542,0.18021694295746682,0.4599081017880682,0.1428096358179902,0.6244544953307472,2020-11-26
2020-11-27,0.15023927325817177,0.15762146124366425,0.18697772925826345,0.45818780300717166,0.15023927325817185,0.6337360150198892,2020-11-27
2020-11-28,0.15528104469137805,0.16454444307083696,0.19026560638559822,0.46371361121247556,0.15528104469137807,0.6701669231774243,2020-11-28
2020-11-29,0.1611176899991889,0.1729509210038324,0.19860912834249714,0.44634678542437767,0.16111768999918893,0.7175034778982088,2020-11-29
2020-11-30,0.16942817746775896,0.1799975275064903,0.2077952577709901,0.43601009837725935,0.16942817746775904,0.7027313970250724,2020-11-30
2020-12-01,0.17622029361667613,0.1863023859562369,0.21908648255503635,0.4077331526150776,0.17622029361667615,0.6998077284693744,2020-12-01
2020-12-02,0.1820455835834212,0.19273086908146866,0.22687206172669058,0.3933526463557221,0.18204558358342124,0.7133097867574598,2020-12-02
2020-12-03,0.18858139346256791,0.19953022623315617,0.23390327947951906,0.38615866963560946,0.188581393462568,0.7216277324229328,2020-12-03
2020-12-04,0.1936361424284208,0.2058350846829027,0.2393489149293818,0.38049136499378167,0.19363614242842084,0.7436837574039616,2020-12-04
2020-12-05,0.19876226782383,0.2120163184571641,0.24684698276782321,0.36442034867700834,0.19876226782382997,0.7622877914241464,2020-12-05
2020-12-06,0.20294103333603697,0.21770305352948452,0.25393655678135335,0.3461673083654183,0.20294103333603705,0.7866524157701358,2020-12-06
2020-12-07,0.20939735582772329,0.22512053405859814,0.2604681880096388,0.3411851443636012,0.2093973558277233,0.8034152785712383,2020-12-07
2020-12-08,0.21436450644821153,0.23080726913091856,0.26762038825416573,0.3262237579964105,0.21436450644821156,0.8156592259740885,2020-12-08
2020-12-09,0.21937383404980126,0.2362467548522685,0.274737005412899,0.3116570722153129,0.21937383404980135,0.8235186604449645,2020-12-09
2020-12-10,0.22408143401735747,0.2416862405736185,0.2812558267302987,0.2988330267577209,0.2240814340173575,0.8353162729787043,2020-12-10
2020-12-11,0.22787411793332796,0.2461367288910867,0.28567951595616736,0.2928305989767574,0.22787411793332793,0.8455714591997427,2020-12-11
2020-12-12,0.23082001784410738,0.2521943379898628,0.2908006336635918,0.27919481080437003,0.2308200178441074,0.8892269123072918,2020-12-12
2020-12-13,0.2346143239516587,0.2559030782544196,0.29809231960442995,0.2582384438370855,0.23461432395165874,0.888687076538492,2020-12-13
2020-12-14,0.23925865844756267,0.2610953146247992,0.3040517748131532,0.24806559476910015,0.23925865844756275,0.8968495528948841,2020-12-14
2020-12-15,0.2433903804039257,0.264804054889356,0.3091629292565555,0.24006732251506194,0.24339038040392583,0.8917910739018433,2020-12-15
2020-12-16,0.24754481304242032,0.26826554580294226,0.31489749936306277,0.22892633993401798,0.24754481304242046,0.8832579593730427,2020-12-16
2020-12-17,0.2511477005434342,0.2720979107429843,0.31933257517638536,0.22203025044869265,0.25114770054343416,0.8868945130607626,2020-12-17
2020-12-18,0.25391840376348446,0.2748176536036593,0.3238302772207048,0.2110531058467817,0.2539184037634846,0.8866826236605414,2020-12-18
